begin,open,high,low,close,volume,v3_signal,v3_L,v3_U,v3_M,v3_segment_quality,v3_breakout
2022-01-03 07:00:00+00:00,1312.0,1318.0,1310.0,1316.05,1584,0.0,,,,,False
2022-01-03 07:10:00+00:00,1317.45,1318.85,1315.1,1317.0,350,0.0,,,,,False
2022-01-03 07:20:00+00:00,1317.0,1318.0,1313.25,1315.0,479,0.0,,,,,False
2022-01-03 07:30:00+00:00,1315.55,1316.1,1313.4,1316.1,136,0.0,,,,,False
2022-01-03 07:40:00+00:00,1315.05,1316.35,1314.05,1314.55,337,0.0,,,,,False
2022-01-03 07:50:00+00:00,1314.55,1317.45,1314.5,1316.1,145,0.0,,,,,False
2022-01-03 08:00:00+00:00,1315.55,1316.45,1314.55,1315.8,150,0.0,,,,,False
2022-01-03 08:10:00+00:00,1315.1,1317.1,1314.7,1317.1,85,0.0,,,,,False
2022-01-03 08:20:00+00:00,1315.5,1317.5,1315.15,1317.45,360,0.0,,,,,False
2022-01-03 08:30:00+00:00,1317.15,1318.0,1316.5,1317.2,232,0.0,,,,,False
2022-01-03 08:40:00+00:00,1317.2,1317.8,1316.1,1317.6,258,0.0,,,,,False
2022-01-03 08:50:00+00:00,1317.7,1318.0,1316.7,1317.0,88,0.0,,,,,False
2022-01-03 09:00:00+00:00,1317.0,1317.4,1316.3,1316.45,158,0.0,,,,,False
2022-01-03 09:10:00+00:00,1317.25,1323.8,1317.25,1320.75,1462,0.0,,,,,False
2022-01-03 09:20:00+00:00,1319.6,1322.4,1318.55,1319.6,280,0.0,,,,,False
2022-01-03 09:30:00+00:00,1320.0,1322.5,1319.0,1320.0,382,0.0,,,,,False
2022-01-03 09:40:00+00:00,1320.0,1320.0,1318.25,1318.5,254,0.0,,,,,False
2022-01-03 09:50:00+00:00,1319.65,1319.9,1318.5,1319.2,210,0.0,,,,,False
2022-01-03 10:00:00+00:00,1319.05,1319.8,1313.5,1315.3,2145,0.0,,,,,False
2022-01-03 10:10:00+00:00,1316.2,1317.85,1315.3,1315.85,749,0.0,,,,,False
2022-01-03 10:20:00+00:00,1316.0,1320.95,1315.6,1316.0,1369,0.0,1313.4850000000001,1320.36,1316.9225000000001,ROLLING,False
2022-01-03 10:30:00+00:00,1317.25,1321.5,1317.25,1320.5,769,0.0,1313.5,1320.95,1317.225,ROLLING,False
2022-01-03 10:40:00+00:00,1321.45,1324.5,1320.0,1322.85,1384,0.0,1313.5825,1321.4175,1317.5,ROLLING,False
2022-01-03 10:50:00+00:00,1322.8,1324.7,1320.95,1324.7,558,0.0,1313.665,1322.13,1317.8975,ROLLING,False
2022-01-03 11:00:00+00:00,1324.8,1325.75,1323.2,1324.5,1500,0.0,1313.7475,1322.4550000000002,1318.1012500000002,ROLLING,False
2022-01-03 11:10:00+00:00,1325.5,1325.9,1323.0,1325.75,2122,0.0,1313.83,1323.02,1318.425,ROLLING,False
2022-01-03 11:20:00+00:00,1325.1,1325.75,1323.7,1324.5,879,0.0,1313.9125,1323.975,1318.94375,ROLLING,False
2022-01-03 11:30:00+00:00,1324.5,1324.75,1320.95,1323.0,1381,0.0,1313.995,1324.52,1319.2575,ROLLING,False
2022-01-03 11:40:00+00:00,1322.9,1325.9,1322.7,1325.45,3228,0.0,1314.0725,1324.69,1319.38125,ROLLING,False
2022-01-03 11:50:00+00:00,1324.7,1325.05,1322.3,1323.0,110,0.0,1314.1399999999999,1324.74,1319.44,ROLLING,False
2022-01-03 12:00:00+00:00,1323.5,1323.5,1320.15,1321.0,1608,0.0,1314.2075,1324.945,1319.57625,ROLLING,False
2022-01-03 12:10:00+00:00,1321.0,1321.5,1320.15,1320.15,1168,0.0,1314.275,1324.9,1319.5875,ROLLING,False
2022-01-03 12:20:00+00:00,1320.1,1320.4,1316.6,1318.85,2255,0.0,1314.3425,1324.855,1319.59875,ROLLING,False
2022-01-03 12:30:00+00:00,1318.05,1320.4,1318.05,1319.4,529,0.0,1314.41,1324.81,1319.6100000000001,ROLLING,False
2022-01-03 12:40:00+00:00,1319.5,1320.4,1319.15,1320.3,393,0.0,1314.4775,1324.765,1319.6212500000001,ROLLING,False
2022-01-03 12:50:00+00:00,1320.2,1320.4,1319.15,1320.05,268,0.0,1314.5049999999999,1324.745,1319.625,ROLLING,False
2022-01-03 13:00:00+00:00,1320.0,1320.4,1318.9,1319.35,791,0.0,1314.5125,1324.7375,1319.625,ROLLING,False
