datetime,open,high,low,close,volume,vwap,dev,dev_mom,vol_ma10,atr,realized_vol,entry_native,ai_score,ai_accept,entry
2024-01-01 10:00:00,269.815,270.6471,269.1679,270.0,12064637,269.93833333333333,0.00022844723794941102,,,,,0.0,,True,0.0
2024-01-01 11:00:00,270.0,271.3024,269.2354,270.5377,8749751,270.1149589305805,0.0015650413109039685,,,,,0.0,,True,0.0
2024-01-01 12:00:00,270.5377,271.4292,269.1518,270.0433,18323901,270.15856604215037,-0.0004266606972306669,-0.000655107935180078,,,,0.0,,True,0.0
2024-01-01 13:00:00,270.0433,270.9864,267.4969,268.44,5199230,270.0197089648371,-0.0058503468909479155,-0.007415388201851884,,,,0.0,,True,0.0
2024-01-01 14:00:00,268.44,268.8575,267.2088,267.6263,4945819,269.8067384765226,-0.008081482652488682,-0.007654821955258015,,,,0.0,,True,0.0
2024-01-01 15:00:00,267.6263,268.4314,265.0519,265.857,9900819,269.2446543915117,-0.01258206741065185,-0.0067317205197039345,,,,0.0,,True,0.0
2024-01-01 16:00:00,265.857,266.3776,265.4431,265.9636,3999300,269.0347276700603,-0.011415357774282212,-0.00333387512179353,,,,0.0,,True,0.0
2024-01-01 17:00:00,265.9636,270.568,263.7356,268.34,4106372,268.9439917522706,-0.0022457900930800225,0.010336277317571828,,,,0.0,,True,0.0
2024-01-01 18:00:00,268.34,269.1123,266.6871,267.4594,5854992,268.8486516117238,-0.005167411491169352,0.00624794628311286,,,,1.0,,True,1.0
2024-01-02 10:00:00,267.4594,269.3099,264.5026,266.3531,6249650,268.6812386752251,-0.008665058590262361,-0.006419268497182339,7939447.1,,,0.0,,True,0.0
2024-01-02 11:00:00,266.3531,268.2572,265.3187,267.2229,2578735,268.62624001900775,-0.005224136029706079,-5.672453853672668e-05,6990856.9,,,0.0,,True,0.0
2024-01-02 12:00:00,267.2229,268.6458,266.4357,267.8587,5889899,268.56057883564245,-0.002613484222760752,0.0060515743675016095,6704871.7,,,0.0,,True,0.0
2024-01-02 13:00:00,267.8587,268.4289,267.4767,268.0469,4449335,268.5327965471682,-0.0018094495473771036,0.003414686482328975,5317415.1,,,0.0,,True,0.0
2024-01-02 14:00:00,268.0469,270.6125,263.8186,266.3842,5126350,268.4489155398071,-0.007691279123461069,-0.005077794900700317,5310127.1,3.016814285714296,,0.0,,True,0.0
2024-01-02 15:00:00,266.3842,266.9057,265.8108,266.3322,5674322,268.33338821970705,-0.007457842771576773,-0.005648393224199669,5382977.4,2.989364285714296,,0.0,,True,0.0
2024-01-02 16:00:00,266.3322,268.683,265.216,267.5668,4730088,268.281714877108,-0.002664791662881298,0.005026487460579771,4865904.3,3.0893642857142987,,0.0,,True,0.0
2024-01-02 17:00:00,267.5668,269.6372,263.0986,265.169,8876049,268.10578605773355,-0.01095383318993782,-0.0034959904183610472,5353579.2,3.393735714285729,,0.0,,True,0.0
2024-01-02 18:00:00,265.169,265.8733,263.6558,264.36,6636732,267.9187675492908,-0.01328300955488705,-0.010618217892005751,5606615.2,3.302878571428583,,0.0,,True,0.0
2024-01-03 10:00:00,264.36,266.2608,259.1086,261.0093,4748614,267.7040484045687,-0.025008020776926206,-0.014054187586988386,5495977.4,3.6959857142857238,,0.0,,True,0.0
2024-01-03 11:00:00,261.0093,262.2132,257.5616,258.7655,5417049,267.3717504950176,-0.03218833133673926,-0.01890532178185221,5412717.3,3.7868500000000074,,0.0,,True,0.0
2024-01-03 12:00:00,258.7655,261.8431,252.5107,255.5883,8752390,266.4130725276346,-0.040631536676984034,-0.015623515900057828,6030082.8,4.386700000000009,,0.0,,True,0.0
2024-01-03 13:00:00,255.5883,256.4674,254.3086,255.1877,7718822,265.48306118576613,-0.03877972907115971,-0.006591397734420447,6212975.1,4.052871428571436,,0.0,,True,0.0
2024-01-03 14:00:00,255.1877,257.2367,250.9824,253.0314,9811153,263.8115477956092,-0.040863062613018204,-0.0002315259360341701,6749156.9,4.326378571428576,,0.0,,True,0.0
2024-01-03 15:00:00,253.0314,254.6727,251.8478,253.489,4883204,263.1634794700678,-0.03676224181846689,0.0020174872526928164,6724842.3,4.184778571428571,,0.0,,True,0.0
2024-01-03 16:00:00,253.489,254.2863,252.9566,253.7539,5603400,262.5301771222003,-0.03342959357436162,0.007433469038656583,6717750.1,4.069864285714282,,0.0,,True,0.0
2024-01-03 17:00:00,253.7539,254.6171,252.5745,253.4377,14236816,261.2000314759016,-0.029717957658890043,0.00704428415957685,7668422.9,4.057899999999996,,1.0,,True,1.0
2024-01-03 18:00:00,253.4377,258.4228,244.2003,249.1854,5141207,260.6197946900614,-0.04387385349474163,-0.010444259920380006,7294938.7,5.005778571428566,,0.0,,True,0.0
2024-01-04 10:00:00,249.1854,250.4923,246.9836,248.2905,12084472,259.3269699089335,-0.04255812618644762,-0.01284016852755758,7839712.7,4.771121428571424,,0.0,,True,0.0
2024-01-04 11:00:00,248.2905,248.6993,247.8015,248.2102,7977052,258.3180826001415,-0.03912959750397274,0.004744255990768886,8162556.5,4.757042857142848,,0.0,,True,0.0
2024-01-04 12:00:00,248.2102,249.1387,247.4693,248.3977,4239018,257.61335740371476,-0.03577321260276344,0.006784913583684181,8044753.4,4.628642857142848,,0.0,,True,0.0
2024-01-04 13:00:00,248.3977,250.6705,243.5911,245.8639,2619481,257.22263121114605,-0.04415914399780019,-0.005029546493827447,7431462.5,4.667271428571417,,0.0,,True,0.0
2024-01-04 14:00:00,245.8639,246.7924,244.1523,245.0808,7198285,256.1417444520746,-0.043182904355303704,-0.007409691752540262,7379408.8,4.697457142857132,,0.0,,True,0.0
2024-01-04 15:00:00,245.0808,246.4341,242.1287,243.482,3700121,255.41999973018136,-0.046738703871240836,-0.0025795598734406483,6768305.6,4.494114285714275,,0.0,,True,0.0
2024-01-04 16:00:00,243.482,244.5662,241.0849,242.1691,3694346,254.6245602452497,-0.048916963207527406,-0.0057340588522237015,6649419.8,4.41052142857142,,0.0,,True,0.0
2024-01-04 17:00:00,242.1691,244.8295,241.2215,243.8819,2224214,253.92079520914987,-0.03953553784707164,0.007203166024169198,6311501.2,4.001635714285707,,0.0,,True,0.0
