symbol,regime,start_dt,end_dt,bars
SBER,range,2022-01-03 06:30:00+00:00,2022-01-03 17:30:00+00:00,23
SBER,trend,2022-01-03 18:00:00+00:00,2022-01-04 06:00:00+00:00,25
SBER,range,2022-01-04 06:30:00+00:00,2022-01-04 08:00:00+00:00,4
SBER,trend,2022-01-04 08:30:00+00:00,2022-01-04 09:30:00+00:00,3
SBER,range,2022-01-04 10:00:00+00:00,2022-01-05 21:00:00+00:00,71
SBER,trend,2022-01-05 21:30:00+00:00,2022-01-05 21:30:00+00:00,1
SBER,range,2022-01-05 22:00:00+00:00,2022-01-05 22:00:00+00:00,1
SBER,trend,2022-01-05 22:30:00+00:00,2022-01-06 01:00:00+00:00,6
SBER,range,2022-01-06 01:30:00+00:00,2022-01-06 05:30:00+00:00,9
SBER,trend,2022-01-06 06:00:00+00:00,2022-01-06 06:00:00+00:00,1
SBER,range,2022-01-06 06:30:00+00:00,2022-01-06 06:30:00+00:00,1
SBER,high_vol,2022-01-06 07:00:00+00:00,2022-01-06 09:00:00+00:00,5
SBER,range,2022-01-06 09:30:00+00:00,2022-01-06 10:00:00+00:00,2
SBER,high_vol,2022-01-06 10:30:00+00:00,2022-01-06 12:30:00+00:00,5
SBER,range,2022-01-06 13:00:00+00:00,2022-01-06 13:00:00+00:00,1
SBER,high_vol,2022-01-06 13:30:00+00:00,2022-01-06 13:30:00+00:00,1
SBER,range,2022-01-06 14:00:00+00:00,2022-01-13 19:00:00+00:00,347
SBER,high_vol,2022-01-13 19:30:00+00:00,2022-01-13 20:30:00+00:00,3
SBER,trend,2022-01-13 21:00:00+00:00,2022-01-14 06:00:00+00:00,19
SBER,range,2022-01-14 06:30:00+00:00,2022-01-14 06:30:00+00:00,1
SBER,trend,2022-01-14 07:00:00+00:00,2022-01-14 08:00:00+00:00,3
SBER,range,2022-01-14 08:30:00+00:00,2022-01-14 10:00:00+00:00,4
SBER,high_vol,2022-01-14 10:30:00+00:00,2022-01-14 23:00:00+00:00,26
SBER,range,2022-01-14 23:30:00+00:00,2022-01-15 00:00:00+00:00,2
SBER,trend,2022-01-15 00:30:00+00:00,2022-01-15 06:00:00+00:00,12
SBER,range,2022-01-15 06:30:00+00:00,2022-01-17 06:30:00+00:00,97
SBER,high_vol,2022-01-17 07:00:00+00:00,2022-01-17 20:30:00+00:00,28
SBER,range,2022-01-17 21:00:00+00:00,2022-01-18 07:00:00+00:00,21
SBER,high_vol,2022-01-18 07:30:00+00:00,2022-01-18 08:30:00+00:00,3
SBER,range,2022-01-18 09:00:00+00:00,2022-01-18 09:30:00+00:00,2
SBER,high_vol,2022-01-18 10:00:00+00:00,2022-01-18 23:30:00+00:00,28
SBER,trend,2022-01-19 00:00:00+00:00,2022-01-19 06:00:00+00:00,13
SBER,range,2022-01-19 06:30:00+00:00,2022-01-19 06:30:00+00:00,1
SBER,high_vol,2022-01-19 07:00:00+00:00,2022-01-19 22:00:00+00:00,31
SBER,range,2022-01-19 22:30:00+00:00,2022-01-20 06:30:00+00:00,17
SBER,high_vol,2022-01-20 07:00:00+00:00,2022-01-20 23:00:00+00:00,33
SBER,range,2022-01-20 23:30:00+00:00,2022-01-21 01:30:00+00:00,5
SBER,trend,2022-01-21 02:00:00+00:00,2022-01-21 06:00:00+00:00,9
SBER,range,2022-01-21 06:30:00+00:00,2022-01-21 07:00:00+00:00,2
SBER,high_vol,2022-01-21 07:30:00+00:00,2022-01-21 07:30:00+00:00,1
SBER,range,2022-01-21 08:00:00+00:00,2022-01-21 08:00:00+00:00,1
SBER,high_vol,2022-01-21 08:30:00+00:00,2022-01-21 09:00:00+00:00,2
SBER,range,2022-01-21 09:30:00+00:00,2022-01-21 09:30:00+00:00,1
SBER,high_vol,2022-01-21 10:00:00+00:00,2022-01-21 21:00:00+00:00,23
SBER,range,2022-01-21 21:30:00+00:00,2022-01-22 05:30:00+00:00,17
SBER,trend,2022-01-22 06:00:00+00:00,2022-01-22 06:00:00+00:00,1
SBER,range,2022-01-22 06:30:00+00:00,2022-01-24 10:30:00+00:00,105
SBER,high_vol,2022-01-24 11:00:00+00:00,2022-01-24 23:00:00+00:00,25
SBER,range,2022-01-24 23:30:00+00:00,2022-01-25 05:00:00+00:00,12
SBER,trend,2022-01-25 05:30:00+00:00,2022-01-25 06:00:00+00:00,2
SBER,range,2022-01-25 06:30:00+00:00,2022-01-25 06:30:00+00:00,1
SBER,high_vol,2022-01-25 07:00:00+00:00,2022-01-25 18:30:00+00:00,24
SBER,range,2022-01-25 19:00:00+00:00,2022-01-26 19:00:00+00:00,49
SBER,high_vol,2022-01-26 19:30:00+00:00,2022-01-26 20:00:00+00:00,2
SBER,range,2022-01-26 20:30:00+00:00,2022-01-26 20:30:00+00:00,1
SBER,high_vol,2022-01-26 21:00:00+00:00,2022-01-26 23:30:00+00:00,6
SBER,range,2022-01-27 00:00:00+00:00,2022-01-27 13:00:00+00:00,27
SBER,high_vol,2022-01-27 13:30:00+00:00,2022-01-27 22:00:00+00:00,18
SBER,range,2022-01-27 22:30:00+00:00,2022-01-27 22:30:00+00:00,1
SBER,trend,2022-01-27 23:00:00+00:00,2022-01-28 06:00:00+00:00,15
SBER,range,2022-01-28 06:30:00+00:00,2022-01-28 06:30:00+00:00,1
SBER,trend,2022-01-28 07:00:00+00:00,2022-01-28 10:00:00+00:00,7
SBER,range,2022-01-28 10:30:00+00:00,2022-01-28 10:30:00+00:00,1
SBER,high_vol,2022-01-28 11:00:00+00:00,2022-01-28 16:30:00+00:00,12
SBER,range,2022-01-28 17:00:00+00:00,2022-01-29 01:30:00+00:00,18
SBER,trend,2022-01-29 02:00:00+00:00,2022-01-29 03:00:00+00:00,3
SBER,range,2022-01-29 03:30:00+00:00,2022-01-29 04:30:00+00:00,3
SBER,trend,2022-01-29 05:00:00+00:00,2022-01-29 05:00:00+00:00,1
SBER,range,2022-01-29 05:30:00+00:00,2022-01-31 22:30:00+00:00,131
SBER,trend,2022-01-31 23:00:00+00:00,2022-02-01 05:30:00+00:00,14
SBER,range,2022-02-01 06:00:00+00:00,2022-02-01 09:30:00+00:00,8
SBER,high_vol,2022-02-01 10:00:00+00:00,2022-02-01 11:00:00+00:00,3
SBER,range,2022-02-01 11:30:00+00:00,2022-02-02 16:00:00+00:00,58
SBER,high_vol,2022-02-02 16:30:00+00:00,2022-02-02 16:30:00+00:00,1
SBER,range,2022-02-02 17:00:00+00:00,2022-02-04 02:00:00+00:00,67
SBER,trend,2022-02-04 02:30:00+00:00,2022-02-04 05:30:00+00:00,7
SBER,range,2022-02-04 06:00:00+00:00,2022-02-08 19:00:00+00:00,219
SBER,trend,2022-02-08 19:30:00+00:00,2022-02-09 06:00:00+00:00,22
SBER,range,2022-02-09 06:30:00+00:00,2022-02-09 07:00:00+00:00,2
SBER,trend,2022-02-09 07:30:00+00:00,2022-02-10 06:00:00+00:00,46
SBER,range,2022-02-10 06:30:00+00:00,2022-02-11 22:00:00+00:00,80
SBER,trend,2022-02-11 22:30:00+00:00,2022-02-12 02:30:00+00:00,9
SBER,range,2022-02-12 03:00:00+00:00,2022-02-12 04:00:00+00:00,3
SBER,trend,2022-02-12 04:30:00+00:00,2022-02-12 06:00:00+00:00,4
SBER,range,2022-02-12 06:30:00+00:00,2022-02-14 06:30:00+00:00,97
SBER,high_vol,2022-02-14 07:00:00+00:00,2022-02-14 22:30:00+00:00,32
SBER,range,2022-02-14 23:00:00+00:00,2022-02-15 07:30:00+00:00,18
SBER,high_vol,2022-02-15 08:00:00+00:00,2022-02-15 08:00:00+00:00,1
SBER,range,2022-02-15 08:30:00+00:00,2022-02-15 10:30:00+00:00,5
SBER,high_vol,2022-02-15 11:00:00+00:00,2022-02-15 17:30:00+00:00,14
SBER,range,2022-02-15 18:00:00+00:00,2022-02-15 21:00:00+00:00,7
SBER,trend,2022-02-15 21:30:00+00:00,2022-02-16 05:00:00+00:00,16
SBER,range,2022-02-16 05:30:00+00:00,2022-02-16 06:30:00+00:00,3
SBER,trend,2022-02-16 07:00:00+00:00,2022-02-16 13:00:00+00:00,13
SBER,range,2022-02-16 13:30:00+00:00,2022-02-16 22:30:00+00:00,19
SBER,trend,2022-02-16 23:00:00+00:00,2022-02-17 06:00:00+00:00,15
SBER,range,2022-02-17 06:30:00+00:00,2022-02-17 07:30:00+00:00,3
SBER,high_vol,2022-02-17 08:00:00+00:00,2022-02-17 08:00:00+00:00,1
SBER,range,2022-02-17 08:30:00+00:00,2022-02-17 09:00:00+00:00,2
SBER,high_vol,2022-02-17 09:30:00+00:00,2022-02-17 10:00:00+00:00,2
SBER,range,2022-02-17 10:30:00+00:00,2022-02-17 10:30:00+00:00,1
SBER,high_vol,2022-02-17 11:00:00+00:00,2022-02-17 12:30:00+00:00,4
SBER,range,2022-02-17 13:00:00+00:00,2022-02-17 13:00:00+00:00,1
SBER,high_vol,2022-02-17 13:30:00+00:00,2022-02-17 13:30:00+00:00,1
SBER,range,2022-02-17 14:00:00+00:00,2022-02-17 21:30:00+00:00,16
SBER,trend,2022-02-17 22:00:00+00:00,2022-02-18 06:00:00+00:00,17
SBER,range,2022-02-18 06:30:00+00:00,2022-02-18 16:30:00+00:00,21
SBER,high_vol,2022-02-18 17:00:00+00:00,2022-02-18 18:00:00+00:00,3
SBER,trend,2022-02-18 18:30:00+00:00,2022-02-18 18:30:00+00:00,1
SBER,high_vol,2022-02-18 19:00:00+00:00,2022-02-18 22:30:00+00:00,8
SBER,trend,2022-02-18 23:00:00+00:00,2022-02-19 06:00:00+00:00,15
SBER,range,2022-02-19 06:30:00+00:00,2022-02-21 06:30:00+00:00,97
SBER,high_vol,2022-02-21 07:00:00+00:00,2022-02-21 23:30:00+00:00,34
SBER,range,2022-02-22 00:00:00+00:00,2022-02-22 05:00:00+00:00,11
SBER,trend,2022-02-22 05:30:00+00:00,2022-02-22 06:00:00+00:00,2
SBER,range,2022-02-22 06:30:00+00:00,2022-02-22 06:30:00+00:00,1
SBER,high_vol,2022-02-22 07:00:00+00:00,2022-02-22 23:30:00+00:00,34
SBER,range,2022-02-23 00:00:00+00:00,2022-02-24 06:30:00+00:00,62
SBER,trend,2022-02-24 07:00:00+00:00,2022-02-24 09:30:00+00:00,6
SBER,high_vol,2022-02-24 10:00:00+00:00,2022-02-24 23:30:00+00:00,28
SBER,range,2022-02-25 00:00:00+00:00,2022-02-25 05:00:00+00:00,11
SBER,trend,2022-02-25 05:30:00+00:00,2022-02-25 06:00:00+00:00,2
SBER,range,2022-02-25 06:30:00+00:00,2022-02-25 09:30:00+00:00,7
SBER,high_vol,2022-02-25 10:00:00+00:00,2022-02-25 23:30:00+00:00,28
SBER,range,2022-02-26 00:00:00+00:00,2022-03-24 09:30:00+00:00,1268
SBER,high_vol,2022-03-24 10:00:00+00:00,2022-03-24 13:30:00+00:00,8
SBER,range,2022-03-24 14:00:00+00:00,2022-03-24 19:00:00+00:00,11
SBER,trend,2022-03-24 19:30:00+00:00,2022-03-24 20:00:00+00:00,2
SBER,range,2022-03-24 20:30:00+00:00,2022-03-25 09:30:00+00:00,27
SBER,high_vol,2022-03-25 10:00:00+00:00,2022-03-25 13:30:00+00:00,8
SBER,range,2022-03-25 14:00:00+00:00,2022-03-28 09:30:00+00:00,136
SBER,high_vol,2022-03-28 10:00:00+00:00,2022-03-28 13:30:00+00:00,8
SBER,range,2022-03-28 14:00:00+00:00,2022-03-29 09:30:00+00:00,40
SBER,high_vol,2022-03-29 10:00:00+00:00,2022-03-29 13:30:00+00:00,8
SBER,range,2022-03-29 14:00:00+00:00,2022-03-30 09:30:00+00:00,40
SBER,high_vol,2022-03-30 10:00:00+00:00,2022-03-30 13:30:00+00:00,8
SBER,range,2022-03-30 14:00:00+00:00,2022-03-31 09:30:00+00:00,40
SBER,high_vol,2022-03-31 10:00:00+00:00,2022-03-31 18:30:00+00:00,18
SBER,range,2022-03-31 19:00:00+00:00,2022-03-31 21:00:00+00:00,5
SBER,trend,2022-03-31 21:30:00+00:00,2022-04-01 01:00:00+00:00,8
SBER,range,2022-04-01 01:30:00+00:00,2022-04-01 09:30:00+00:00,17
SBER,high_vol,2022-04-01 10:00:00+00:00,2022-04-01 18:00:00+00:00,17
SBER,trend,2022-04-01 18:30:00+00:00,2022-04-02 01:00:00+00:00,14
SBER,range,2022-04-02 01:30:00+00:00,2022-04-04 09:30:00+00:00,113
SBER,high_vol,2022-04-04 10:00:00+00:00,2022-04-04 17:30:00+00:00,16
SBER,range,2022-04-04 18:00:00+00:00,2022-04-04 20:30:00+00:00,6
SBER,trend,2022-04-04 21:00:00+00:00,2022-04-04 22:30:00+00:00,4
SBER,range,2022-04-04 23:00:00+00:00,2022-04-05 00:00:00+00:00,3
SBER,trend,2022-04-05 00:30:00+00:00,2022-04-05 00:30:00+00:00,1
SBER,range,2022-04-05 01:00:00+00:00,2022-04-05 09:30:00+00:00,18
SBER,high_vol,2022-04-05 10:00:00+00:00,2022-04-05 18:30:00+00:00,18
SBER,range,2022-04-05 19:00:00+00:00,2022-04-06 09:30:00+00:00,30
SBER,high_vol,2022-04-06 10:00:00+00:00,2022-04-06 18:30:00+00:00,18
SBER,range,2022-04-06 19:00:00+00:00,2022-04-07 00:00:00+00:00,11
SBER,trend,2022-04-07 00:30:00+00:00,2022-04-07 01:00:00+00:00,2
SBER,range,2022-04-07 01:30:00+00:00,2022-04-07 09:30:00+00:00,17
SBER,high_vol,2022-04-07 10:00:00+00:00,2022-04-07 17:30:00+00:00,16
SBER,range,2022-04-07 18:00:00+00:00,2022-04-08 00:30:00+00:00,14
SBER,trend,2022-04-08 01:00:00+00:00,2022-04-08 01:00:00+00:00,1
SBER,range,2022-04-08 01:30:00+00:00,2022-04-08 09:30:00+00:00,17
SBER,high_vol,2022-04-08 10:00:00+00:00,2022-04-08 18:30:00+00:00,18
SBER,range,2022-04-08 19:00:00+00:00,2022-04-11 09:30:00+00:00,126
SBER,high_vol,2022-04-11 10:00:00+00:00,2022-04-11 15:30:00+00:00,12
SBER,range,2022-04-11 16:00:00+00:00,2022-04-11 16:00:00+00:00,1
SBER,high_vol,2022-04-11 16:30:00+00:00,2022-04-11 16:30:00+00:00,1
SBER,range,2022-04-11 17:00:00+00:00,2022-04-12 00:00:00+00:00,15
